serial_numb,date,time,id,display_name,username,content,user_location,file
33,10/16/2022, 4:27:07 PM,86838453,S Valentino (executive level wife era),svaIentino,If the liverpool city game is a boring 0-0 or a shit game then i will actually kill myself,"London, England",kill
33,10/16/2022, 5:17:29 AM,1.36951E+18,Mariespaintstop,mariespaintstop,'@AnnaInFermanagh Well I am sad about that.,"London, England",sad
34,10/16/2022, 6:04:17 PM,1.50589E+18,⟭⟬ English Gem ⟬⟭⁷,yeong_jibo,"The more times I see this Yoongi, the more overwhelmed by JUST HOW GOOD HE LOOKS 🔥 🔥 🔥 🔥

TBH good is not even the correct word HOW he looks. I am not sure the word has even been invented yet, but I think is starts with ""OMG"" and ends with ""incapacitated"" 🔥 🔥 🔥 🔥 https://t.co/Tzh2yl2G9X",South-East England,overwhelmed
34,10/16/2022, 6:36:09 PM,1.50589E+18,⟭⟬ English Gem ⟬⟭⁷,yeong_jibo,"Realised how incapacitated I was by the while words missing from my tweet 😭😭

""overwhelmed I AM..""

""word TO DESCRIBE HOW..""",South-East England,overwhelmed
34,10/16/2022, 6:52:05 PM,262391562,Joe Bennett,BoeJennettt,"No. I AM sad, bro. https://t.co/cduA0qybnL","London, England",sad
35,10/16/2022, 7:18:17 AM,20959305,🍁🎃 𝐜𝐡𝐫𝐢𝐬𝐭𝐢𝐧𝐚 𝐦𝐚𝐫𝐢𝐞 🎃🍁,XtinaG,More snaps within the castle! Also managed to learn about my family name with the castle staff and see my family crest in their records ! Very cool (although the Scot’s will be sad to hear that I am intact VERY Anglo-Saxon)! 😉 https://t.co/8oOMLQoqET,"South London, England",sad
35,10/16/2022, 7:39:01 AM,347784852,Abby Peel,Here_comes_Abs,"Is it just me?  I am Finding it incredibly hard to just sit and concentrate to watch a film or even read a book these days! It is becoming joyless, so I give up and I am a bit sad about it.",London,sad
35,10/16/2022, 7:54:47 PM,1625496259,Jide,JideHowardChase,'@flave1969 OMG!😔 I am sad to hear the news. May she rest in peace.,"Bexley, London",sad
36,10/16/2022, 8:14:51 PM,1.1239E+18,H,heyfs__,"So my work wife is leaving this week, I am so sad :(","London, England",sad
36,10/16/2022, 8:35:10 PM,1.18585E+18,Richard Roberts,Richard85337271,'@FargusW @MichaelSavva13 @R042 @NicholasGuyatt no I really don't have that option. I am not ok with being trapped. my own circumstances are very hard. I was talking of others. was willing to recognise the good in you  but your last messages are offensive shit. sad.,"London, England",sad
36,10/16/2022, 8:47:08 PM,1.58163E+18,Bailey Art,Baileyart22,The only time I can forget about all the issues in our world is when I am painting. #FrozenPlanet2  what have we done to this world and the animals on it? #Embarrassed #sad #ClimateEmergency,"London, England",sad
37,10/16/2022, 8:54:24 PM,1.04344E+18,HillingdonHomelessMum,MumHomeless,"'@Mike_Fabricant Nah you wont, this is not the manifesto that your sad incompetent party got elected, they didn’t deliver the manifesto, or #Brexit promises, you are toast, and i am sincerely hope you will loose your seat, PEOPLE IN LICHFIELD WHAT WERE YOU THINKING? THINK AGAIN","Hillingdon, London",sad
37,10/16/2022, 9:51:14 AM,76089285,Laura,LauraF7x,"'@adam_dilley4 @UpTheRs_ Firstly, I am not and never will be your ‘pal’ secondly it’s quite sad that you clearly feel the need to behave like a child. Have a great Sunday 👍🏻 I certainly will",London,sad
37,10/16/2022, 9:52:04 PM,1.18383E+18,Darinka Reeves Gvozden,Darinka67290589,'@kallewickans Wish that people really and truly loved him I am sad because I know they haven't,London,sad
38,10/16/2022, 9:52:22 PM,1.18383E+18,Darinka Reeves Gvozden,Darinka67290589,Wish that people really and truly loved him I am sad because I know they haven't https://t.co/Sr2JveJmwh,London,sad
38,10/17/2022, 1:58:30 AM,111270941,jennie 💙🕷,jadegoose,'@archer_rs The result shook me to the core.  I have felt sad for my country since.  One son has moved to California and the other to the Outer Hebrides.  I am quite ill and watch the nhs struggle more and more.,north london,sad
38,10/17/2022, 10:00:58 AM,1.28094E+18,Yanis Mellata,YanisMellata,'@theallinpod is one of the only shows for which I am sad after watching an episode because I can't wait for the next one,"London, UK",sad
39,10/17/2022, 10:06:02 PM,469611100,pretty glonky 💀🥀,maggotina__,i joined my local lost pets page on fb because i wanted to be able to help if i could but instead i am just sad about how many missing pets there are and it haunts my every moment to think of the little babies out there with no one to care for them and now my life is ruined,London,sad
39,10/17/2022, 10:26:04 PM,1.13176E+18,cleo loughlin 🐝🍂🌻🍂🐝,CleoLoughlin,"'@Ironhorse76 Wow!
I made this great list!!
I am overwhelmed to be included in this company!
💙💙💙💙💙💙",WNC,overwhelmed
39,10/17/2022, 10:26:52 PM,1.41821E+18,KatOT7’sWife|ᴾʳᵒᵒᶠ| 💜⁷,LettersToMinYo1,"I am merely retweeting. I am not solely or fully responsible for this video.😭 Kim Namjoon, we will be so sad for 3 years. This kind of video is very comforting.😅 https://t.co/IyTxNCZ7YL","London, England",sad
40,10/17/2022, 11:20:46 AM,1.21023E+18,Skye Victoria Projects (SVP),SVPROJECTSLDN,'@bobrobbaru Unfortunately Ellis isn't able to do the mural (she was the artist I had signed off for it but time-lines have changed and she has commitments I AM SO SAD because she is PERFECTION),"London, England",sad
40,10/17/2022, 11:25:07 AM,1.01645E+18,🌻sher 🌻,whileshersleeps,'@hoodatr0n I am now sad.,"London, England",sad
40,10/17/2022, 11:29:28 AM,1.26977E+18,Abhinav Puri,Abhi_puri269,'@romeor39 @homeoffice_ukvi @ukhomeoffice @GOVUK I am on week 11 from Bio date and week 13 from Application date. This is for my skilled worker Visa. The sad part is i have to go for a medical emergency and still…..,"London, England",sad
41,10/17/2022, 11:32:06 PM,857842375,Clare Griffiths,statsgeekclare,"'@Soupdragon_26 😁 I am sad to see ginnel go, was a tough group!",London,sad
41,10/17/2022, 11:35:06 AM,1.17333E+18,Josephine Raj,JosephineRaj10,"'@reginamia At this rate I am Not Sure whether WE  have a monarchy In future In Britain...
SAD!!!","London, England",sad
41,10/17/2022, 11:37:57 PM,1.25097E+18,Skarzz🏳️\u200d🌈,skarzzFox,Goodnight ya’ll imma head to bed. Today was honestly one of the most fun days in my life! Whew I’m tired. ❤️,"London, England",tired
42,10/17/2022, 11:47:58 PM,7.52558E+17,beatrice 🪑,beaverc0re,This time i am not sad.,London,sad
42,10/17/2022, 12:00:19 PM,81338173,toebean,toebean__,"'@Absintheuse My weekend was chronically online and in completely unrelated news I am big sad 😂

Glad you got all the pumpkins!","London, England",sad
42,10/17/2022, 12:29:03 PM,8.89844E+17,Jo louise ward,Namasteprecious,'@RichardJMurphy @Michellestwitr I am too overwhelmed with how shit this is. What it all means.,"Worthing, England",overwhelmed
43,10/17/2022, 12:37:25 AM,3376297241,Nawtystep,NawtystepBlog,"'@DavidsLeftCroc @tonichauntel Really sad to read tweets like this. Here I am, standing up for voiceless innocent victims, and I have the L? Can’t make it up

When you have a cause like this to fight for, where lives are involved, let me know how it feels to be told *you’re* the suffocater","London, England",sad
43,10/17/2022, 12:47:59 PM,9.75802E+17,Tim Speers,speers_tim,"'@SebastianMicozz @PauloTalks @stevewa11206258 @RebelsAnimal I agree, humans aren't special, I just don't like to see anyone suffer, human or nonhuman, and I will do my best to reduce suffering as much as possible.

As for point 2, do you think it's ok to enslave, exploit and kill someone else for a food source humans have zero need for?","London, England",kill
43,10/17/2022, 12:49:34 PM,61731376,claire r,purlpirate,"I will be 49 in a few weeks, and I am sad. Not about the getting older thing, that's a privilege, but that the plans I had for my 50th are not going to happen as planned for many (valid) reasons. Diamond shoes etc",,sad
44,10/17/2022, 2:09:52 PM,1.46255E+18,Ana Magboo,anageron26,"'@BIGHIT_MUSIC This is a very sad news..! But there’s nothing we can do this..! I just want to know know that no matter what happen, I am still here for you guys…! I will wait until you come back again and hoping that I can see you on your next concert..! Take care always Guys..! I love you!","London, England",sad
44,10/17/2022, 2:19:01 AM,9.76597E+17,Mallowchu,MallowchuTweet,'@terradactyi I AM!! IM SAD BUT IM HAPPY,221B Baker Street,sad
44,10/17/2022, 2:30:52 PM,206723664,🎃🎃Bloody Violence🎃🎃,BiBiVirtue,"Yes, I am sad about BTS. And I *absolutely* care who knows it!",London,sad
45,10/17/2022, 4:25:45 PM,1.57488E+18,DangerYT,DangerPlayzYT1,I am sad,"London, England",sad
45,10/17/2022, 5:08:49 PM,1.38695E+18,Meg,Megthorpeart,"Wow 🥹 I am so overwhelmed. This piece sold and it was the last 1/1 +physical available through OS.

Thanks to all my collectors. I’m not stopping anytime soon 🫡🫶🏻 https://t.co/OdkfMcOP3X","London, England",overwhelmed
45,10/17/2022, 5:09:59 PM,1.56069E+18,Geo,shs88889693,'@MaazQuraishi3 @Chkm8er @FrontalForce i will write an article about how we kill 1000000 endian soldiers in galwan lol https://t.co/y85jdvfdVQ,London,kill
46,10/17/2022, 5:43:17 AM,1.56523E+18,Brighto🐷💫,Brighto_Dynasty,'@HillaryAine256 But am tired of this life mann,Arsenal fc,tired
46,10/17/2022, 6:19:21 PM,7.2867E+17,এদেন Bose-Rosling (She/They/Ze/Xe),AidanTheJester,"If folks have any questions about this, I am happy to answer them. 

If I don't answer your question right away, please don't be upset. I'm probably overwhelmed by dealing with multiple things.

If your question isn't hate, I will do my best to answer :)",London,overwhelmed
47,10/17/2022, 7:23:22 AM,9.20929E+17,Emre Ozdenoren,emre_ozdenoren,'@AlePavanTweet @toxvaerd1 Very sad news. I am sorry for your loss.,"London, England",sad
47,10/17/2022, 7:54:39 AM,733363573,Ali Miraj,AliMirajUK,'@coyso_stephen @martinpmurray @TalkTV @drdavidbull That is kind of you to say. I am not angry. I am sad that my country’s government has become an international joke.,London,sad
48,10/17/2022, 8:04:21 PM,1.46472E+18,Jay,Jay30481953,'@RichardBurgon Because of trying to make ends meet I failed my family . 24rd July I tired to end my life due to inco and lies of government.  Enough is enough .,"London, England",tired
48,10/17/2022, 8:38:21 PM,1.55668E+18,Lina 🏁,linacrystal44,'@__SteF1 I hope so. I’m tired of fighting for my life in qualifying,W14,tired
49,10/17/2022, 8:49:33 AM,1.53495E+18,Jaimes Melmoth🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f🇬🇧🇬🇧,JaimesMelmoth,"'@AngelaRayner I am not a fan of Liz but your comments, vis-a-vis Tories are very sad. Hatred is the unacceptable face of extremists.","Tottenham, London",sad
49,10/17/2022, 8:54:58 PM,319183091,𝓓𝓮𝓼𝓽𝓲𝓷𝔂♡,gotthewine4you,I am so overwhelmed lmao tour is going to be wild. @taylorswift13 🙃,"London, England",overwhelmed
50,10/17/2022, 9:07:16 PM,90949873,charolastra 🇮🇳🇿🇼🇬🇧🚩,jayvi22,"It’s crazy how I’m sad at the situation that has been caused by the broken trust, more than I am upset at the individuals who broke it. I’m sad for the effect this is going to have on all of us, especially them.","London, England",sad
50,10/17/2022, 9:09:25 PM,237932722,(((larterlia)))🇮🇱🇮🇱🇮🇱🇮🇱⚽️⚽️⚽️,Larterlia,'@nsweholteend Lol. Made my week. Shows how sad I am I guess. I think HM is worse on current form but he has got a point. Can you seriously see us getting to the next level with Mings McGinn Digne Ollie Ings Cash in the team. The problem is we’d struggle to get rid of them for a decent price.,"London, England",sad
51,10/17/2022, 9:28:34 PM,1.56728E+18,MissGold,ManicMom8,I am a bit overwhelmed,"Brighton, England",overwhelmed
51,10/18/2022, 1:24:44 PM,262280179,Megan Liberty,meganlib_actor,'@ACEsipowicz I’m working 2 jobs at the moment aswell and then I’ve got a voice job that takes up my evenings at the moment. I am so super grateful to be in this position but my gosh I just feel overwhelmed!!!,London,overwhelmed
52,10/18/2022, 1:52:02 PM,247218127,Sam Creighton,sam_creighton,I just inhaled this special and important and powerful and beautiful and troubling and freeing and dangerous and hopeful and sad thing in exactly three breaths and I don't know what to make of it other than I am thinking many things and I'm about to read it again. https://t.co/KlnaHXF312,London,sad
52,10/18/2022, 1:54:02 AM,588479264,CyberSnake,sekhmet1975,'@invisiblemass01 @CalltoActivism @AdamRintala You people I swear it’s legal to kill dogs  when they are attacking livestock and people. Practically every state has these laws. If a dog attacks my animals it’s getting shot. And I will be within my rights that’s why I keep my dogs kenneled and on choke collars.,TBD,kill
53,10/18/2022, 10:08:11 PM,28845839,Emily Mckenzie,Emily_Mckenzie,'@Teyamade I've gone way past disappointment at this point. I am sad that not more people know how messed up it is and how much of a fight it is to be a victim of crime. This is the same system that our loved ones might need to rely on one day too. It makes me so angry.,London,sad
53,10/18/2022, 10:10:31 PM,2889069962,val💚,umh_ok,"sadly, I am having a hard time so I baked cookies and put this punch-in-the-throat-of-a-song to become even more sad https://t.co/0igHmgrpyL","London, England",sad
54,10/18/2022, 10:12:48 PM,1.49605E+18,val,sembilanstst,"'@RydingEdvin I am sorry baby, I like the teaser but I am beggin you please don't sad ending huaa","London, England",sad
54,10/18/2022, 10:19:40 AM,410953066,twittux,mromani75,"'@davesumnersmith @UKLabour @Keir_Starmer The Left is affected by love for self-destruction, fueled by a ""I am holier than thou"" attitude.
Also seen that in Italy across decades.
Sad.",London,sad
55,10/18/2022, 10:24:47 PM,7.26865E+17,Sandra,CerayeSand,"'@Kate_Bradbury I knew this and I'm not clever,  important or famous, I am SO disappointed that so many people I follow on twitter knee jerked and immediately condemned them. Sad.","London, England",sad
56,10/18/2022, 10:35:32 AM,2264376208,Franck Desire Mickey,fdesire10,"Not to a nuclear war. Why do we innocent citizens have to pay the price for your greed, power and money? Why can’t we be left out of this war Mr presidents, premier minister and whoever sponsor war? If you guys are tired of this life, go in peace bro, why taking us with you? Smt",London,tired
57,10/18/2022, 10:50:39 AM,54166719,Sallie,salliefoyeh,"Still sad that Yebba hasn’t come to London, but her Live at Electric Lady project is actually phenomenal and I haven’t screamed about it enough. She really did that and I am grateful. 

https://t.co/TVn97OdK0Z",South London,sad
58,10/18/2022, 11:04:40 PM,575561884,Xander S-A,Not4Twos,"People think I am dramatic when I say I can't come and kill myself for the NHS, but look and see how being pounded by the sheer volume of work to be done can turn out.

It is just a job.

I will repeat, I can't come and kill myself for the national elf. https://t.co/z9hAlxRxRW",London,kill
59,10/18/2022, 11:26:44 AM,1.08132E+18,Ben Saunders,BenSaun79944515,"'@Larchwood20 It makes me a little bit sad and nostalgic of the past when I was growing up.  It wasn't all bad as a kid, but I am beginning to wonder what happened to the faith I grew up in ?","London, England",sad
60,10/18/2022, 11:30:55 PM,1.37251E+18,Yaron Elalouf,YElalouf,"'@Snagglecoom @Teorhuos @IGN @jasonschreier I don't know, I am waiting to her respond.
This is very sad, I really love her voice and I think it's better then the new one",London,sad
61,10/18/2022, 11:36:00 AM,19709843,Lesley Pitman,lesleypitman,"As the owner of a shelf of those green spines, I am sad to see this. https://t.co/4Z8jJHO4KF","Tooting, London",sad
62,10/18/2022, 11:43:23 AM,8.04188E+17,Margaret Lynn Atkinson,MargaretLAtkin1,"I am not supposed to watch the news, getting too sad😠
https://t.co/cGCfj4EFpL 
Saving Capitalism by Robert Reich",London,sad
63,10/18/2022, 12:04:24 AM,1.55438E+18,Bonn,BonnMao05,"Sad Beautiful Tragic forever 
I am voting for Taylor Swift for Artist Of The Year at the #AMAs","London, England",sad
64,10/18/2022, 12:21:34 PM,7.13577E+17,Katharine Horgan,katharinehorgan,"'@floschechter My fav. Only sad that while I am on the instagram account, I don't think I made the book (yes I looked through trying to work out if any were mine).","London, England",sad
65,10/18/2022, 12:24:21 AM,106504679,ellegist,ellegist,"my initial tweet here is mean, “amusing” is not the right word, “sad” is better — but I am frustrated, because these are people who with a good steer could ensure a far more interesting future for us all",London,sad
66,10/18/2022, 12:27:55 AM,170968079,Sushant Singh🇮🇳,sushantijs,"Global Ambedkarite Convention 2022.
I am overwhelmed with the emotions when I receive such love, respect and kindness from senior leaders of the nation.

Metta. Jai Bhim. Namo Buddha.
#Ambedkar #inspiration #appreciation #London https://t.co/vX7n3Fl48W","London, UK",overwhelmed
67,10/18/2022, 12:35:01 AM,196633990,Hope Virgo,HopeVirgo,I am overwhelmed with the support that we have had today when we launched the first ever school nurse toolkit for eating disorders and the eating disorder manifesto!!,"London, England",overwhelmed
68,10/18/2022, 12:35:14 PM,1505971392,Aki Lunn,AkiLunn,Sad for short people but I am over 1m tall I won’t even need to swim I can wade 👍 https://t.co/zTbjorYiGm,Epsom,sad
69,10/18/2022, 12:50:27 PM,89442728,🇺🇦 Валерія Voshchevska,Val_Voshchevska,"Every time I think of my grandmother, like today, I am overwhelmed with anger. The same anger I felt a few months back at her funeral—in a country that was not our home. But this anger also reminds me of the importance of preserving our memories.","London, England",overwhelmed
70,10/18/2022, 3:35:04 PM,1.25816E+18,Amy,DrAmyE2,"'@niamhie53 Seeking help was suggested by a colleague. I found the process enlightening but also sad. It was expensive and exciting too - now my world has more colour. I am also better at listening, less distracted. I don’t take meds every day as adhd is also a superpower!",London,sad
71,10/18/2022, 3:39:29 PM,859607389,Leah Holmes,leahmholmes,"Random ephemeral anime fandom memories: in the late '90s I went to a con, one of the first Ayacons, I think, and saw an AMV that cut together Fist of the North Star with the Monty Python ""Brave Sir Robin"" song. It made me laugh.

No longer seems to exist. I am sad.","London, UK",sad
72,10/18/2022, 3:52:36 PM,2760064278,Myrmidia ✦ on Patreon ✦ commissions CLOSED,Myrmidia,"Mutuals, artists, I need your advice. 
I have been in correspondence with a client, working on a high-price illustration, they paid in full. We had regular updates/feedback.

I have not heard back from them in two months.

I am extremely sad &amp; worried. Is there anything I can do?","London, UK",sad
73,10/18/2022, 4:05:52 PM,301908423,Cori Crider,cori_crider,"I am finding this saga more and more sad.

The underlying issue - dodgy ties between Facebook and the BJP - is a huge problem that needs MORE tough reporting. But it risks being totally washed away in this mess. https://t.co/gOGJPdvJgk",London,sad
74,10/18/2022, 5:49:19 PM,241694831,SuperTuberEddie 🪓❄️,SuperTuberEddie,"Guy I’m actually going to have to cancel tonight’s stream. I am a little overwhelmed atm with everything on my plate and it will be best if I do it at a time when I am not rushed off my feet and worrying about everything. 

I’ll let you know when I will reschedule it for 👍","London, England",overwhelmed
75,10/18/2022, 6:03:44 AM,1.58135E+18,maheen,mehhh_een,my life is like that movie i start watching and get soooo tired of in the middle but i keep watching because ive come so far and i wanna see how tf would it possibly end,She/her,tired
76,10/18/2022, 6:11:33 PM,288171218,geographycarrie 🌍,GeographyCarrie,"So this happened today😊 I am totally overwhelmed to have been nominated, let alone shortlisted. I just go to work and do the best job I can each day. Looking forward to meeting some amazing people from across #Luton doing amazing things @CILuton awards in November🎉 https://t.co/Yna1G4ZNCI",Bedfordshire,overwhelmed
77,10/18/2022, 6:47:52 PM,9.37369E+17,DanDan 173,173Dandan,'@darrengrimes_ During my teaching career I never said thicko to any pupil as it would have been cruel and inappropriate but for you I am overwhelmed by the desire to say THICKO,"Reading, England",overwhelmed
78,10/18/2022, 7:03:40 PM,71841808,Dom Taylor,domril,"It’s sad that with all the stuff going on, I still get mad when a mask on a retouch isn’t done very well. Like in my head voicing “who does this person think they are?! To hand this over on round 2? Are they serious” I am a sad, sad little man.","London, England",sad
79,10/18/2022, 7:16:02 PM,443442180,Dr Rosie James 🇨🇦🇬🇧🌎☮🩺,rosiejames96,"I am overwhelmed with all of your support, incl. from @WHO. Thank you from the bottom of my heart 🙏. Very grateful to everyone trying to make a systemic and cultural shift towards #ZeroTolerance around the world.  Solidarity with those who have experienced similar. 🖤",England,overwhelmed
80,10/18/2022, 7:21:01 PM,1134467990,Mahir Ahmad,MahirKang,"'@akhund_bilal1 I guess I am a sissy then. Don't want to get carved up like Yamcha

Oh that's kinda sad","London, England",sad
81,10/18/2022, 9:10:45 AM,29424807,Fernando Santos,fernandofsantos,"""You are old"", I already heard that somewhere! I do not agree. I am blessed. I am achieving something that others do not achieve. Yesterday, passed away one of my childhood friends. I am sad but grateful to life.","Joburg, Madeira, London.",sad
82,10/18/2022, 9:25:31 AM,16026556,Lori_en,Lori_en,Just wanted to put a tweet out there to say how epic the last weekend was. After a truly shite couple of months I was ready to give up on this fandom. This weekend convinced me otherwise! Hopefully I can tweet more later but right now I am still so overwhelmed by it all!,London,overwhelmed
83,10/18/2022, 9:53:11 PM,1160994871,Nathan Old 💀,NathanpmYoung,'@xriskology Now you are right that I will bit your bullet and give the unpleasant answer. But that's not a fair criticism of actual funders. They are currently spending *a lot* on current people. And all the x-risks could kill billions even if they don't kill us all.,"London, England",kill
84,10/18/2022, 9:55:25 PM,20686809,Con Franklin,ConFranklin,'@fourfoot Great list. I will never watch Kill List again though. Too much even for me,"Beckenham, UK",kill
85,10/19/2022, 1:01:10 PM,9.31995E+17,Zemzem,Zemzem50468559,Our kids always see the sad face and crying days over days for last two years. I am deeply concerned about every Tigrayan family who live in the UK and every school should support us to come out of this trauma. Together we can make difference. We love our family and our kids too.,"London, England",sad
86,10/19/2022, 1:04:28 PM,1.50268E+18,Tired of drinking,tiredofdrinking,I’ve always been that woman in the pub who ends up talking to old drunks. Here I am wasting my life c.1995. #recoveryposse #odaat https://t.co/46nYGljv4Y,"England, United Kingdom",tired
87,10/19/2022, 10:22:44 AM,2874913978,Greg Knudsen,gjk100,"'@AmmarAd35612335 “Sad and pathetic”. More of the same 
I am familiar with this Pew research .. which demonstrates that scientists are MUCH less religious than the general population (because they are on average smarter and better informed)
Most scientists are non-believers https://t.co/PxoH3mJDVZ","London, UK",sad
88,10/19/2022, 10:28:33 PM,1.5108E+18,Cherie,CherieVirani,"'@Kashifkhwaja I am extremely and unbelievably surprised that nobody is giving a damm.. about Pakistan accepts Imran Khan and us. So sad 😞 
I used to be very proud but now 😪","🇬🇧London, England",sad
89,10/19/2022, 10:33:17 AM,182738284,emily lander,landerart,'@DrAseemMalhotra I admire and love your honesty and integrity. I am so sad it took your own fathers death to realise this. Great grief but also a great gift for you,Australia/London,sad
90,10/19/2022, 10:42:05 AM,9.96496E+17,Dr Alix Weasel,AlixWzl,"I can now exclusively confirm we've moved from overwhelmed to just generally highly stressed.

I thought about getting some Deliveroo as a treat but I am now apparently beyond the point that I can make those kinds of choices. https://t.co/eOGhXbzpvD","Guildford, England",overwhelmed
91,10/19/2022, 10:43:35 PM,17996178,B u b b l e s 👽\U0001fae7,SawCleaverxo,Oh. My. God. I am absolutely overwhelmed with all the Silent Hill updates. IM SO HYPE,London.,overwhelmed
92,10/19/2022, 10:47:05 PM,20060605,Jean-Francois Dor,jeanfrancoisdor,"'@Paulscriven Whilst on Belgium yesterday I was asked what I thought of the Prime Minister, I couldn't answer, I just burst out laughing. Though it is rather sad! I am now a prod member of the Liberal Democrat, let's hope that people will see what the opposite parties in parliament are.",London,sad
93,10/19/2022, 10:51:31 AM,998024641,Paris ✨❤️,blackfeminist21,She also discussed with me how a teacher disbelieving I was on my period and being given a detention for leaking on his couch was another abuse of power and how these situations make me the independent guarded person I am today. Ngl I'm sad for teenage me she was just hurt&amp; lost.,"London, England",sad
94,10/19/2022, 11:08:11 PM,278084724,Victoria Ann,ToriaUnhidden,'@MarkWebb_ Cannot tell you how sad I am not to be in this photo with you all- can we recreate?! 🤣,London,sad
95,10/19/2022, 11:12:06 PM,1.28305E+18,Lavender Boy,_lavenderboy,"I have been very absent and to ref Christine, people, I’ve been sad

but I am making music and trying really hard and doing my best and making music like I have never made it before I swear I am trying so hard","London, England",sad
96,10/19/2022, 11:31:34 AM,1.17866E+18,ً,tularosaax,and u think these spiders don’t know what they’re doing when they decide to enter my home? bye. i will kill them all https://t.co/2WA0E8TTfj,London,kill
97,10/19/2022, 12:11:18 PM,7.14338E+17,Metiya 🎥YT@MetiyaChique,metiyachique,My doctor called me to ask HOW I AM 🥹 SAD season creeping up and she just wanted to see if I’m okay 🫶🏿 crying 😭,London,sad
98,10/19/2022, 12:24:46 AM,303968027,LeahAnn Kuria,LeahExcellence,"'@IsRexInsane I keep hearing that. I think I need to go back to London and recoup then return knowing what I know cos I am overwhelmed. The things I’ve seen and heard. I though Kenyan men were bad, but the women 🙈. I am in awe of them weirdly 😂

😂😂🤣 at (checks notes)",london/uk,overwhelmed
99,10/19/2022, 12:52:16 PM,567440553,Diane Maxfield,diane_maxfield,"'@Jan_Leeming @rickygervais #animals #charities I am overwhelmed with pleas for #money to #help animals. I #give when I can, as well as regular #donations to charities I've supported for years. I sometimes think, with badly injured animals, that euthanasia would be kinder. 😢","Guildford, Surrey, UK",overwhelmed
100,10/19/2022, 12:56:00 AM,7.5899E+17,Ollie Swainson,ollieswainson,'@6dombele The New York Knicks give me motivation in life because if I want to be happy I will have to work 10x harder as they always kill my mood,"London, England",kill
101,10/19/2022, 3:37:56 PM,8.43218E+17,Badgie,CardboardBadger,"I am overwhelmed by the activity, subs and comments over the last 48hours - 5 years of the channel and the first time I have felt truly noticed.

Been amazing responding to your comments &amp; talk about this game we enjoy!

Thank you 

#MTG #MTGSecretLair #MagictheGathering https://t.co/DL7sfc1Hf3","England, United Kingdom",overwhelmed
102,10/19/2022, 4:21:02 PM,283697814,Louis Emanuel,louisjemanuel,"This Kherson grandmother has a msg for Putin: “He should stop killing civilians, God damn f-----g animal. I wish him death, God, please forgive me for this. He should come here, we will bury him. I will kill that God damn mother f----r with my bare hands.”https://t.co/ZtMyzbFQvr","London, England",kill
103,10/19/2022, 4:44:46 PM,1.01209E+18,Liz,Liz37409723,"'@TamQueen89 @Butterscotch686 @7gem7stone7 @305_FREAK @britneyspears Neither I am, it's sad she has no one around who cares enough to step in and help. She has been mentally unwell for decades now, saying that, isn't being judgemental. She needs dragging out of the lime light and heal properly","London, England",sad
104,10/19/2022, 4:48:37 AM,8.6153E+17,Please Help Me!,PleaseHelpArgh,By the mighty Colour out of space I will remove #NicolasCage's badonkadonk from my 'Gregory Peck' if it kills me! Most certainly! #adult,"London, England",kill
105,10/19/2022, 4:53:20 PM,1.35383E+18,Minal 미날,Kdrama_Gab,'@rnbwthoughts I will  - I am really sad it is ending next week. Going to take a kdrama break after it ends until SJK’s drama hits the TV :) TaeJun and Taeyang gave me so much joy - I often rewatch a few clips! Both series depicted age appropriate romance and that’s what I love!,"London, England",sad
106,10/19/2022, 4:58:56 PM,3804126917,M✨,ManishaBaden,I am VERY sad I missed Yung Singh tbh and all these tiktoks are not helping my FOMO,London,sad
107,10/19/2022, 5:04:27 PM,43167708,✨,Camssssssssss,I’ve booked Friday and Monday off for the month of December 🥰 I will not let Q4 kill me xo, London,kill
108,10/19/2022, 5:16:21 PM,19706851,Telegraph World News,TelegraphWorld,"“I wish him death, God, please forgive me for this. He should come here, we will bury him. I will kill that God damn mother f----r with my bare hands.”

Read the full report from @MrOlmos here 
https://t.co/OvG35nYbtz",London,kill
109,10/19/2022, 5:31:07 AM,1.3696E+18,Ali,subparAli,'@ih8rts @hrtapp Tonight I will have a few minutes before I kill myself,"London, England",kill
110,10/19/2022, 6:24:28 AM,1.36273E+18,Shan Bantana like hannah montana ⚡️,shazbow16x,does anyone else feel a bit sad as they get older ?? like why am i feeling sad that i am turning 22 tomorrow :/,"London, England",sad
111,10/19/2022, 6:31:37 PM,1324081909,Emma Victory,femtobrewster,'@DailyRoP I am happy for us and sad for those who've chosen not to enjoy it.,London,sad
112,10/19/2022, 6:37:28 AM,9.50946E+17,⠠𝖻𝗋𝗂𝗍𝗂𝗌𝗁𝗲𝗹𝗲𝗴𝗮𝗻𝗰𝗲,fiidcm,"[ I am in a limbo: there is a urge need to write lecherous paragraphs and at the same time, there is an obstacle: the brain does not want to cooperate. 

I feel sad. So sad. ] https://t.co/OTXyPEGkKS",London,sad
113,10/19/2022, 6:52:34 PM,1.2585E+18,Redindian,pvalles1972,"'@SuellaBraverman Very sad, what is happening to this tory government. I am very scared that Starmer and Labour is going to be the pm and the government, please don't make this nightmare a teality","London, England",sad
114,10/19/2022, 7:03:21 PM,1.27323E+18,,Iam_marcy_,😫😓 I'm tired. The story of my life. https://t.co/3O3uGEMnfk,"London, England",tired
